dataset,method_key,method,readout,rv_final,rv_max,rv_ratio
singlecell,pca,PCA,linear,0.8102059364318848,0.810206413269043,0.9999994114621282
singlecell,kpca,Kernel PCA (RBF),linear,0.8564150929450989,0.8564152717590332,0.9999997912065091
singlecell,isomap,Isomap,linear,0.9484735727310181,0.9484738111495972,0.9999997486292439
singlecell,lle,LLE,orthonormal,0.7189045548439026,0.9999940395355225,0.7189088398745053
singlecell,diffusion,Diffusion Maps,linear,0.6829448342323303,0.6829453706741333,0.9999992145172572
singlecell,laplacian,Laplacian Eigenmaps,orthonormal,0.9291800856590271,0.9501216411590576,0.9779590795611351
mnist,pca,PCA,linear,0.6791599988937378,0.6791598200798035,1.0000002632869747
mnist,kpca,Kernel PCA (RBF),linear,0.6985769867897034,0.6985771059989929,0.9999998293541421
mnist,isomap,Isomap,linear,0.71993088722229,0.7199310064315796,0.9999998344156753
mnist,lle,LLE,orthonormal,0.8716396689414978,0.9183233380317688,0.9491642353440265
mnist,diffusion,Diffusion Maps,linear,0.6521492004394531,0.6521502733230591,0.9999983548521716
mnist,laplacian,Laplacian Eigenmaps,orthonormal,0.5026912689208984,0.5073036551475525,0.990908036676155
swissroll,pca,PCA,linear,0.8771898150444031,0.8771898150444031,1.0
swissroll,kpca,Kernel PCA (RBF),linear,0.8264511823654175,0.8264511227607727,1.0000000721211977
swissroll,isomap,Isomap,linear,0.9999805688858032,0.9999805688858032,1.0
swissroll,lle,LLE,orthonormal,0.7117231488227844,0.9999960660934448,0.7117259486861595
swissroll,diffusion,Diffusion Maps,linear,0.3104556202888489,0.3104557693004608,0.9999995200230543
swissroll,laplacian,Laplacian Eigenmaps,orthonormal,0.83853679895401,0.9838522672653198,0.8522995035471906
