dataset,method,rv_final,rv_max,rv_ratio,procrustes,knn_overlap,trustworthiness,ari
singlecell,PCA,0.8102,0.8102,1.0,0.0,1.0,0.8252,0.549
singlecell,Kernel PCA (RBF),0.8564,0.8564,1.0,0.0,1.0,0.7739,0.4286
singlecell,Isomap,0.9485,0.9485,1.0,0.0063,0.4845,0.8282,0.5696
singlecell,LLE,0.7189,1.0,0.7189,0.0,0.9994,0.7856,0.3718
singlecell,Diffusion Maps,0.6829,0.6829,1.0,0.0004,0.7414,0.6985,0.2414
singlecell,Laplacian Eigenmaps,0.9292,0.9501,0.978,0.0966,0.0916,0.8027,0.4767
mnist,PCA,0.6792,0.6792,1.0,0.0,0.9997,0.7409,0.2318
mnist,Kernel PCA (RBF),0.6986,0.6986,1.0,0.0,1.0,0.73,0.2087
mnist,Isomap,0.7199,0.7199,1.0,0.0043,0.6419,0.7656,0.2665
mnist,LLE,0.8716,0.9183,0.9492,0.0,1.0,0.7481,0.262
mnist,Diffusion Maps,0.6521,0.6522,1.0,0.0011,0.8514,0.7752,0.2883
mnist,Laplacian Eigenmaps,0.5027,0.5073,0.9909,0.0212,0.3428,0.7861,0.277
swissroll,PCA,0.8772,0.8772,1.0,0.0,1.0,0.9587,
swissroll,Kernel PCA (RBF),0.8265,0.8265,1.0,0.0,1.0,0.8734,
swissroll,Isomap,1.0,1.0,1.0,0.0,0.9718,0.9999,
swissroll,LLE,0.7117,1.0,0.7117,0.0,0.9999,0.9966,
swissroll,Diffusion Maps,0.3105,0.3105,1.0,0.0,0.9772,0.8794,
swissroll,Laplacian Eigenmaps,0.8385,0.9839,0.8523,0.0032,0.4387,0.8751,
