readout,n,q,n_in,invariance,predicted,rank,consistent,min_gap
student_t,30,1,30,1,29,29,True,426581652375298.4
student_t,30,2,60,3,57,57,True,46499769958302.1
student_t,30,3,90,6,84,84,True,32148774888884.516
student_t,50,1,50,1,49,49,True,160360237861664.9
student_t,50,2,100,3,97,97,True,46876306083076.31
student_t,50,3,150,6,144,144,True,15763918026720.535
student_t,80,1,80,1,79,79,True,104092962738661.55
student_t,80,2,160,3,157,157,True,54197830739923.914
student_t,80,3,240,6,234,234,True,19865945586984.15
student_t,120,1,120,1,119,119,True,125694807432938.73
student_t,120,2,240,3,237,237,True,36041130923422.33
student_t,120,3,360,6,354,354,True,19473340868698.27
dot_exp,30,1,30,0,30,30,True,inf
dot_exp,30,2,60,1,59,59,True,14316315888219.982
dot_exp,30,3,90,3,87,87,True,11556511900005.53
dot_exp,50,1,50,0,50,50,True,inf
dot_exp,50,2,100,1,99,99,True,10344651086828.562
dot_exp,50,3,150,3,147,147,True,17720201846382.375
dot_exp,80,1,80,0,80,80,True,inf
dot_exp,80,2,160,1,159,159,True,9821469560616.402
dot_exp,80,3,240,3,237,237,True,10905973099981.492
dot_exp,120,1,120,0,120,120,True,inf
dot_exp,120,2,240,1,239,239,True,6422516913203.511
dot_exp,120,3,360,3,357,357,True,9129761483152.896
