dataset,beta,split,ari,trustworthiness
mnist,0.0,train,0.3756377950402296,0.9472904174015285
mnist,0.0,test,0.3590087480272891,0.8260069324090121
mnist,0.25,train,0.4330879023328409,0.9398731887816856
mnist,0.25,test,0.40249336688309717,0.8280134796841903
mnist,0.5,train,0.666955342083082,0.9305898952173463
mnist,0.5,test,0.431973076275872,0.837419218178317
mnist,0.75,train,0.48106466515534224,0.8931022236054916
mnist,0.75,test,0.3505226773811339,0.8004442518775274
mnist,1.0,train,0.36572931221852145,0.7740342359165888
mnist,1.0,test,0.34700638187407756,0.7796450991719622
singlecell,0.0,train,0.39132906770764414,0.8953016182810748
singlecell,0.0,test,0.5010598802870684,0.8422595044506618
singlecell,0.25,train,0.3997825906112331,0.8905307309771395
singlecell,0.25,test,0.43907984181385445,0.8430255086626999
singlecell,0.5,train,0.39272768781580675,0.8844562487234757
singlecell,0.5,test,0.4147096942914011,0.8417671513575284
singlecell,0.75,train,0.3560136425374037,0.8781272639423189
singlecell,0.75,test,0.40877480414531553,0.8354196494638627
singlecell,1.0,train,0.32042487873455816,0.8188185472456099
singlecell,1.0,test,0.34637220779827266,0.8145745491324166
