dataset,family,key,alpha,nu,rv_final
singlecell,globallocal,globallocal_a0.0_nuinf,0.0,inf,0.4676714539527893
singlecell,globallocal,globallocal_a0.0_nu1.0,0.0,1.0,0.4460888206958771
singlecell,globallocal,globallocal_a0.0_nu0.5,0.0,0.5,0.43080848455429077
singlecell,globallocal,globallocal_a0.25_nuinf,0.25,inf,0.4257644712924957
singlecell,globallocal,globallocal_a0.25_nu1.0,0.25,1.0,0.49956539273262024
singlecell,globallocal,globallocal_a0.25_nu0.5,0.25,0.5,0.5054401159286499
singlecell,globallocal,globallocal_a0.5_nuinf,0.5,inf,0.6250277161598206
singlecell,globallocal,globallocal_a0.5_nu1.0,0.5,1.0,0.6399933099746704
singlecell,globallocal,globallocal_a0.5_nu0.5,0.5,0.5,0.6432093381881714
singlecell,globallocal,globallocal_a0.75_nuinf,0.75,inf,0.7336172461509705
singlecell,globallocal,globallocal_a0.75_nu1.0,0.75,1.0,0.7640154957771301
singlecell,globallocal,globallocal_a0.75_nu0.5,0.75,0.5,0.7673078179359436
singlecell,globallocal,globallocal_a1.0_nuinf,1.0,inf,0.7336286306381226
singlecell,globallocal,globallocal_a1.0_nu1.0,1.0,1.0,0.7878590822219849
singlecell,globallocal,globallocal_a1.0_nu0.5,1.0,0.5,0.7925363183021545
singlecell,unsupsup,unsupsup_a0.0,0.0,1.0,0.8870573043823242
singlecell,unsupsup,unsupsup_a0.25,0.25,1.0,0.8590123653411865
singlecell,unsupsup,unsupsup_a0.5,0.5,1.0,0.7061542868614197
singlecell,unsupsup,unsupsup_a0.75,0.75,1.0,0.49762165546417236
singlecell,unsupsup,unsupsup_a1.0,1.0,1.0,0.4460888206958771
mnist,globallocal,globallocal_a0.0_nuinf,0.0,inf,0.6430914402008057
mnist,globallocal,globallocal_a0.0_nu1.0,0.0,1.0,0.6226240396499634
mnist,globallocal,globallocal_a0.0_nu0.5,0.0,0.5,0.607343852519989
mnist,globallocal,globallocal_a0.25_nuinf,0.25,inf,0.6436061859130859
mnist,globallocal,globallocal_a0.25_nu1.0,0.25,1.0,0.653599202632904
mnist,globallocal,globallocal_a0.25_nu0.5,0.25,0.5,0.6495257616043091
mnist,globallocal,globallocal_a0.5_nuinf,0.5,inf,0.5859431624412537
mnist,globallocal,globallocal_a0.5_nu1.0,0.5,1.0,0.6441220045089722
mnist,globallocal,globallocal_a0.5_nu0.5,0.5,0.5,0.6568310260772705
mnist,globallocal,globallocal_a0.75_nuinf,0.75,inf,0.6634800434112549
mnist,globallocal,globallocal_a0.75_nu1.0,0.75,1.0,0.6740334630012512
mnist,globallocal,globallocal_a0.75_nu0.5,0.75,0.5,0.671408474445343
mnist,globallocal,globallocal_a1.0_nuinf,1.0,inf,0.6840702891349792
mnist,globallocal,globallocal_a1.0_nu1.0,1.0,1.0,0.6917304396629333
mnist,globallocal,globallocal_a1.0_nu0.5,1.0,0.5,0.6849738359451294
mnist,unsupsup,unsupsup_a0.0,0.0,1.0,0.9253508448600769
mnist,unsupsup,unsupsup_a0.25,0.25,1.0,0.8877069354057312
mnist,unsupsup,unsupsup_a0.5,0.5,1.0,0.719011127948761
mnist,unsupsup,unsupsup_a0.75,0.75,1.0,0.6511871218681335
mnist,unsupsup,unsupsup_a1.0,1.0,1.0,0.6226240396499634
swissroll,globallocal,globallocal_a0.0_nuinf,0.0,inf,0.8951783776283264
swissroll,globallocal,globallocal_a0.0_nu1.0,0.0,1.0,0.8581385612487793
swissroll,globallocal,globallocal_a0.0_nu0.5,0.0,0.5,0.839627742767334
swissroll,globallocal,globallocal_a0.25_nuinf,0.25,inf,0.8725801706314087
swissroll,globallocal,globallocal_a0.25_nu1.0,0.25,1.0,0.8633500933647156
swissroll,globallocal,globallocal_a0.25_nu0.5,0.25,0.5,0.8545200824737549
swissroll,globallocal,globallocal_a0.5_nuinf,0.5,inf,0.7292022109031677
swissroll,globallocal,globallocal_a0.5_nu1.0,0.5,1.0,0.7848861813545227
swissroll,globallocal,globallocal_a0.5_nu0.5,0.5,0.5,0.798297107219696
swissroll,globallocal,globallocal_a0.75_nuinf,0.75,inf,0.5835079550743103
swissroll,globallocal,globallocal_a0.75_nu1.0,0.75,1.0,0.7918639779090881
swissroll,globallocal,globallocal_a0.75_nu0.5,0.75,0.5,0.7954427599906921
swissroll,globallocal,globallocal_a1.0_nuinf,1.0,inf,0.4631860852241516
swissroll,globallocal,globallocal_a1.0_nu1.0,1.0,1.0,0.7458558082580566
swissroll,globallocal,globallocal_a1.0_nu0.5,1.0,0.5,0.7640533447265625
