dataset,key,beta,rv_final
singlecell,supervised_b0.0,0.0,0.517748236656189
singlecell,supervised_b0.25,0.25,0.6648823618888855
singlecell,supervised_b0.5,0.5,0.8124949336051941
singlecell,supervised_b0.75,0.75,0.9096969962120056
singlecell,supervised_b1.0,1.0,0.8988004922866821
mnist,supervised_b0.0,0.0,0.6739989519119263
mnist,supervised_b0.25,0.25,0.7473141551017761
mnist,supervised_b0.5,0.5,0.8443036675453186
mnist,supervised_b0.75,0.75,0.9071183800697327
mnist,supervised_b1.0,1.0,0.8637687563896179
