dataset,method_key,method,output_kernel,rv_final
singlecell,pca,PCA,linear,0.8102059364318848
singlecell,kpca,Kernel PCA (RBF),linear,0.8564150929450989
singlecell,isomap,Isomap,linear,0.9484735727310181
singlecell,lle,LLE,linear,0.9999951124191284
singlecell,diffusion,Diffusion Maps,linear,0.6829448342323303
singlecell,laplacian,Laplacian Eigenmaps,linear,0.9501217007637024
mnist,pca,PCA,linear,0.6791599988937378
mnist,kpca,Kernel PCA (RBF),linear,0.6985769867897034
mnist,isomap,Isomap,linear,0.71993088722229
mnist,lle,LLE,linear,0.9183233380317688
mnist,diffusion,Diffusion Maps,linear,0.6521492004394531
mnist,laplacian,Laplacian Eigenmaps,linear,0.507303774356842
swissroll,pca,PCA,linear,0.8771898150444031
swissroll,kpca,Kernel PCA (RBF),linear,0.8264511823654175
swissroll,isomap,Isomap,linear,0.9999805688858032
swissroll,lle,LLE,linear,0.9999960064888
swissroll,diffusion,Diffusion Maps,linear,0.3104556202888489
swissroll,laplacian,Laplacian Eigenmaps,linear,0.983852744102478
