hp_value,lambda,rv_final,procrustes,knn_overlap,trustworthiness_fw,ari_fw,trustworthiness_ref,ari_ref
5,0.25,0.6832,0.3466,0.4797,0.9535,0.3997,0.9435,0.4631
5,0.5,0.7741,0.3386,0.5287,0.9273,0.2884,0.9435,0.4631
5,0.75,0.8055,0.3471,0.5229,0.8873,0.2452,0.9435,0.4631
5,1.0,0.8216,0.3792,0.4718,0.8651,0.1979,0.9435,0.4631
15,0.25,0.6828,0.3258,0.5123,0.9546,0.3887,0.9505,0.5095
15,0.5,0.7506,0.2939,0.5534,0.9448,0.363,0.9505,0.5095
15,0.75,0.7932,0.2969,0.5563,0.9182,0.3224,0.9505,0.5095
15,1.0,0.8106,0.3291,0.508,0.8914,0.2537,0.9505,0.5095
30,0.25,0.6851,0.3493,0.5029,0.9514,0.3758,0.9517,0.5266
30,0.5,0.7368,0.2537,0.5672,0.95,0.3982,0.9517,0.5266
30,0.75,0.7816,0.2685,0.553,0.9301,0.3584,0.9517,0.5266
30,1.0,0.8046,0.3016,0.5061,0.9064,0.2703,0.9517,0.5266
50,0.25,0.6919,0.4052,0.4577,0.9471,0.4144,0.9514,0.4495
50,0.5,0.7274,0.4554,0.5355,0.9532,0.4096,0.9514,0.4495
50,0.75,0.7706,0.4472,0.5239,0.9368,0.3905,0.9514,0.4495
50,1.0,0.7976,0.4733,0.4961,0.9153,0.3007,0.9514,0.4495
100,0.25,0.6923,0.644,0.4728,0.9435,0.397,0.9484,0.4694
100,0.5,0.7214,0.6913,0.5576,0.9536,0.4581,0.9484,0.4694
100,0.75,0.7511,0.7051,0.5292,0.9437,0.394,0.9484,0.4694
100,1.0,0.7829,0.6997,0.4889,0.9253,0.3601,0.9484,0.4694
