hp_value,lambda,rv_final,procrustes,knn_overlap,trustworthiness_fw,ari_fw,trustworthiness_ref,ari_ref
5,0.25,0.6126,0.3445,0.4427,0.9189,0.2484,0.9446,0.4759
5,0.5,0.6318,0.3535,0.4467,0.904,0.2562,0.9446,0.4759
5,0.75,0.6472,0.354,0.4428,0.8969,0.2251,0.9446,0.4759
5,1.0,0.658,0.3577,0.4198,0.8824,0.2217,0.9446,0.4759
15,0.25,0.6109,0.3336,0.4656,0.9485,0.3399,0.9424,0.5113
15,0.5,0.6432,0.3257,0.4645,0.9402,0.3356,0.9424,0.5113
15,0.75,0.6669,0.3411,0.4512,0.9353,0.3339,0.9424,0.5113
15,1.0,0.6793,0.3562,0.4427,0.9254,0.2928,0.9424,0.5113
30,0.25,0.6164,0.3076,0.4434,0.9554,0.3592,0.9364,0.4874
30,0.5,0.6574,0.3225,0.4436,0.9497,0.3719,0.9364,0.4874
30,0.75,0.681,0.3307,0.4207,0.9396,0.3571,0.9364,0.4874
30,1.0,0.6952,0.3327,0.4106,0.9347,0.3374,0.9364,0.4874
50,0.25,0.6265,0.296,0.4385,0.9545,0.3731,0.9347,0.5002
50,0.5,0.6665,0.3119,0.437,0.9516,0.3802,0.9347,0.5002
50,0.75,0.6939,0.3315,0.4166,0.944,0.3623,0.9347,0.5002
50,1.0,0.703,0.3148,0.3916,0.9344,0.3419,0.9347,0.5002
100,0.25,0.6356,0.3135,0.4299,0.9493,0.3965,0.9273,0.4709
100,0.5,0.6816,0.2893,0.4178,0.9529,0.4037,0.9273,0.4709
100,0.75,0.7054,0.297,0.3968,0.9456,0.3843,0.9273,0.4709
100,1.0,0.7123,0.3025,0.3757,0.9348,0.3468,0.9273,0.4709
