hp_value,lambda,rv_final,procrustes,knn_overlap,trustworthiness_fw,ari_fw,trustworthiness_ref,ari_ref
5,0.25,0.5105,0.2725,0.1594,0.8956,0.3884,0.872,0.4452
5,0.5,0.5389,0.3496,0.2839,0.8706,0.3204,0.872,0.4452
5,0.75,0.5874,0.3755,0.2925,0.8517,0.266,0.872,0.4452
5,1.0,0.6145,0.3983,0.277,0.8399,0.275,0.872,0.4452
15,0.25,0.6074,0.2145,0.1585,0.8919,0.4076,0.8852,0.4581
15,0.5,0.5081,0.3615,0.292,0.884,0.351,0.8852,0.4581
15,0.75,0.5617,0.3426,0.2957,0.8659,0.3268,0.8852,0.4581
15,1.0,0.6001,0.3614,0.2692,0.8507,0.2653,0.8852,0.4581
30,0.25,0.6628,0.1712,0.1736,0.8906,0.4032,0.8909,0.4655
30,0.5,0.5025,0.3616,0.2948,0.8936,0.3581,0.8909,0.4655
30,0.75,0.5423,0.377,0.2792,0.8716,0.3392,0.8909,0.4655
30,1.0,0.5907,0.3734,0.2562,0.8585,0.2834,0.8909,0.4655
50,0.25,0.6974,0.1305,0.2044,0.8887,0.4057,0.8909,0.4873
50,0.5,0.5327,0.2877,0.3202,0.898,0.3824,0.8909,0.4873
50,0.75,0.528,0.3877,0.2533,0.8788,0.341,0.8909,0.4873
50,1.0,0.5801,0.3742,0.2268,0.8644,0.3237,0.8909,0.4873
100,0.25,0.7374,0.1215,0.2245,0.8864,0.3981,0.8831,0.4987
100,0.5,0.5984,0.2021,0.2921,0.8958,0.3977,0.8831,0.4987
100,0.75,0.5115,0.3688,0.2084,0.8907,0.3743,0.8831,0.4987
100,1.0,0.5559,0.3769,0.1743,0.8721,0.3442,0.8831,0.4987
