hp_value,lambda,rv_final,procrustes,knn_overlap,trustworthiness_fw,ari_fw,trustworthiness_ref,ari_ref
5,0.25,0.9347,0.1014,0.7661,0.9975,,0.996,
5,0.5,0.927,0.1012,0.7574,0.9846,,0.996,
5,0.75,0.9195,0.1056,0.6946,0.9717,,0.996,
5,1.0,0.9122,0.1066,0.6408,0.9651,,0.996,
15,0.25,0.9396,0.6178,0.8094,0.9998,,0.9992,
15,0.5,0.9395,0.6108,0.8396,0.9991,,0.9992,
15,0.75,0.9355,0.6013,0.8438,0.9974,,0.9992,
15,1.0,0.9323,0.6133,0.8325,0.9947,,0.9992,
30,0.25,0.9316,0.8161,0.8334,0.998,,0.9995,
30,0.5,0.9407,0.7749,0.8621,0.9998,,0.9995,
30,0.75,0.9393,0.7734,0.868,0.9992,,0.9995,
30,1.0,0.9368,0.7646,0.8651,0.9987,,0.9995,
50,0.25,0.9119,0.8891,0.8549,0.9995,,0.9996,
50,0.5,0.9348,0.8246,0.8667,0.9991,,0.9996,
50,0.75,0.9393,0.8021,0.876,0.9998,,0.9996,
50,1.0,0.9395,0.812,0.8726,0.9997,,0.9996,
100,0.25,0.8835,0.5326,0.8118,0.9985,,0.9996,
100,0.5,0.924,0.2841,0.8758,0.9983,,0.9996,
100,0.75,0.9346,0.2887,0.867,0.9987,,0.9996,
100,1.0,0.933,0.3119,0.8606,0.9992,,0.9996,
