dataset,method,rv_final,procrustes,knn_overlap,trustworthiness,ari
singlecell,PCA,0.8102,0.0,1.0,0.8252,0.549
singlecell,Kernel PCA (RBF),0.8564,0.0,1.0,0.7739,0.4286
singlecell,Isomap,0.9485,0.0063,0.4845,0.8282,0.5696
singlecell,LLE,1.0,0.3724,0.6352,0.7969,0.3534
singlecell,Diffusion Maps,0.6829,0.0004,0.7414,0.6985,0.2414
singlecell,Laplacian Eigenmaps,0.9501,0.1064,0.0901,0.8021,0.4744
mnist,PCA,0.6792,0.0,0.9997,0.7409,0.2318
mnist,Kernel PCA (RBF),0.6986,0.0,1.0,0.73,0.2087
mnist,Isomap,0.7199,0.0043,0.6419,0.7656,0.2665
mnist,LLE,0.9183,0.0283,0.8877,0.7482,0.2555
mnist,Diffusion Maps,0.6521,0.0011,0.8514,0.7752,0.2883
mnist,Laplacian Eigenmaps,0.5073,0.0252,0.3432,0.7862,0.2817
swissroll,PCA,0.8772,0.0,1.0,0.9587,
swissroll,Kernel PCA (RBF),0.8265,0.0,1.0,0.8734,
swissroll,Isomap,1.0,0.0,0.9718,0.9999,
swissroll,LLE,1.0,0.4196,0.3678,0.9954,
swissroll,Diffusion Maps,0.3105,0.0,0.9772,0.8794,
swissroll,Laplacian Eigenmaps,0.9839,0.108,0.4028,0.8743,
