section,dataset,method,variant,init,index_name,k,value,run_id
spectral,singlecell,PCA,framework_linear,pca,procrustes,15,3.338908456793217e-13,
spectral,singlecell,PCA,framework_linear,pca,knn_overlap,15,0.9999747283295426,
spectral,singlecell,PCA,framework_linear,pca,trustworthiness,15,0.825180189909597,
spectral,singlecell,PCA,framework_linear,pca,ari,,0.548970163632591,
spectral,singlecell,PCA,framework_linear,pca,rv_final,,0.8102059364318848,
spectral,singlecell,PCA,reference,pca,trustworthiness,15,0.8251779091775787,
spectral,singlecell,PCA,reference,pca,ari,,0.548970163632591,
spectral,singlecell,Kernel PCA (RBF),framework_linear,pca,procrustes,15,3.5489365496402425e-13,
spectral,singlecell,Kernel PCA (RBF),framework_linear,pca,knn_overlap,15,0.9999747283295426,
spectral,singlecell,Kernel PCA (RBF),framework_linear,pca,trustworthiness,15,0.7738977661872781,
spectral,singlecell,Kernel PCA (RBF),framework_linear,pca,ari,,0.42863074173317606,
spectral,singlecell,Kernel PCA (RBF),framework_linear,pca,rv_final,,0.8564150929450989,
spectral,singlecell,Kernel PCA (RBF),reference,pca,trustworthiness,15,0.7738994187515795,
spectral,singlecell,Kernel PCA (RBF),reference,pca,ari,,0.42863074173317606,
spectral,singlecell,Isomap,framework_linear,pca,procrustes,15,0.006269882791679197,
spectral,singlecell,Isomap,framework_linear,pca,knn_overlap,15,0.4844831943391458,
spectral,singlecell,Isomap,framework_linear,pca,trustworthiness,15,0.8281998597736373,
spectral,singlecell,Isomap,framework_linear,pca,ari,,0.569557956873539,
spectral,singlecell,Isomap,framework_linear,pca,rv_final,,0.9484735727310181,
spectral,singlecell,Isomap,reference,pca,trustworthiness,15,0.8272325781307759,
spectral,singlecell,Isomap,reference,pca,ari,,0.5623971084246042,
spectral,singlecell,LLE,framework_linear,pca,procrustes,15,0.3724034711621881,
spectral,singlecell,LLE,framework_linear,pca,knn_overlap,15,0.6352034369471822,
spectral,singlecell,LLE,framework_linear,pca,trustworthiness,15,0.7968757740355089,
spectral,singlecell,LLE,framework_linear,pca,ari,,0.3534243569512624,
spectral,singlecell,LLE,framework_linear,pca,rv_final,,0.9999951124191284,
spectral,singlecell,LLE,reference,pca,trustworthiness,15,0.7855702240770888,
spectral,singlecell,LLE,reference,pca,ari,,0.37179573152329826,
spectral,singlecell,Diffusion Maps,framework_linear,pca,procrustes,15,0.0003804475387637756,
spectral,singlecell,Diffusion Maps,framework_linear,pca,knn_overlap,15,0.741369724538792,
spectral,singlecell,Diffusion Maps,framework_linear,pca,trustworthiness,15,0.698507386527542,
spectral,singlecell,Diffusion Maps,framework_linear,pca,ari,,0.2414250027826186,
spectral,singlecell,Diffusion Maps,framework_linear,pca,rv_final,,0.6829448342323303,
spectral,singlecell,Diffusion Maps,reference,pca,trustworthiness,15,0.6774866719722679,
spectral,singlecell,Diffusion Maps,reference,pca,ari,,0.24459917774739276,
spectral,singlecell,Laplacian Eigenmaps,framework_linear,pca,procrustes,15,0.1063937616729749,
spectral,singlecell,Laplacian Eigenmaps,framework_linear,pca,knn_overlap,15,0.09009350518069242,
spectral,singlecell,Laplacian Eigenmaps,framework_linear,pca,trustworthiness,15,0.8020990272581301,
spectral,singlecell,Laplacian Eigenmaps,framework_linear,pca,ari,,0.47443510372740444,
spectral,singlecell,Laplacian Eigenmaps,framework_linear,pca,rv_final,,0.9501217007637024,
spectral,singlecell,Laplacian Eigenmaps,reference,pca,trustworthiness,15,0.8297432871823344,
spectral,singlecell,Laplacian Eigenmaps,reference,pca,ari,,0.7503038741287572,
spectral,mnist,PCA,framework_linear,pca,procrustes,15,1.098246947275949e-09,
spectral,mnist,PCA,framework_linear,pca,knn_overlap,15,0.9996666666666667,
spectral,mnist,PCA,framework_linear,pca,trustworthiness,15,0.7409337717079751,
spectral,mnist,PCA,framework_linear,pca,ari,,0.23177710727315043,
spectral,mnist,PCA,framework_linear,pca,rv_final,,0.6791599988937378,
spectral,mnist,PCA,reference,pca,trustworthiness,15,0.7409499241274659,
spectral,mnist,PCA,reference,pca,ari,,0.23177710727315043,
spectral,mnist,Kernel PCA (RBF),framework_linear,pca,procrustes,15,1.226379424831709e-12,
spectral,mnist,Kernel PCA (RBF),framework_linear,pca,knn_overlap,15,1.0,
spectral,mnist,Kernel PCA (RBF),framework_linear,pca,trustworthiness,15,0.7299621143146181,
spectral,mnist,Kernel PCA (RBF),framework_linear,pca,ari,,0.20866866118420085,
spectral,mnist,Kernel PCA (RBF),framework_linear,pca,rv_final,,0.6985769867897034,
spectral,mnist,Kernel PCA (RBF),reference,pca,trustworthiness,15,0.7299621143146181,
spectral,mnist,Kernel PCA (RBF),reference,pca,ari,,0.20866866118420085,
spectral,mnist,Isomap,framework_linear,pca,procrustes,15,0.004327410198353643,
spectral,mnist,Isomap,framework_linear,pca,knn_overlap,15,0.6419,
spectral,mnist,Isomap,framework_linear,pca,trustworthiness,15,0.7655617265216659,
spectral,mnist,Isomap,framework_linear,pca,ari,,0.26651128606555263,
spectral,mnist,Isomap,framework_linear,pca,rv_final,,0.71993088722229,
spectral,mnist,Isomap,reference,pca,trustworthiness,15,0.7633350868319002,
spectral,mnist,Isomap,reference,pca,ari,,0.2720059057986047,
spectral,mnist,LLE,framework_linear,pca,procrustes,15,0.028297052302074865,
spectral,mnist,LLE,framework_linear,pca,knn_overlap,15,0.8877333333333336,
spectral,mnist,LLE,framework_linear,pca,trustworthiness,15,0.7482291013319845,
spectral,mnist,LLE,framework_linear,pca,ari,,0.2555078572655466,
spectral,mnist,LLE,framework_linear,pca,rv_final,,0.9183233380317688,
spectral,mnist,LLE,reference,pca,trustworthiness,15,0.7481177710335525,
spectral,mnist,LLE,reference,pca,ari,,0.26196032463231883,
spectral,mnist,Diffusion Maps,framework_linear,pca,procrustes,15,0.0011096799591356979,
spectral,mnist,Diffusion Maps,framework_linear,pca,knn_overlap,15,0.8513666666666667,
spectral,mnist,Diffusion Maps,framework_linear,pca,trustworthiness,15,0.7752089866801551,
spectral,mnist,Diffusion Maps,framework_linear,pca,ari,,0.2882690035692429,
spectral,mnist,Diffusion Maps,framework_linear,pca,rv_final,,0.6521492004394531,
spectral,mnist,Diffusion Maps,reference,pca,trustworthiness,15,0.7759197268588771,
spectral,mnist,Diffusion Maps,reference,pca,ari,,0.28692123416042403,
spectral,mnist,Laplacian Eigenmaps,framework_linear,pca,procrustes,15,0.025171388323651324,
spectral,mnist,Laplacian Eigenmaps,framework_linear,pca,knn_overlap,15,0.34323333333333333,
spectral,mnist,Laplacian Eigenmaps,framework_linear,pca,trustworthiness,15,0.7861815208227955,
spectral,mnist,Laplacian Eigenmaps,framework_linear,pca,ari,,0.2817434264034008,
spectral,mnist,Laplacian Eigenmaps,framework_linear,pca,rv_final,,0.507303774356842,
spectral,mnist,Laplacian Eigenmaps,reference,pca,trustworthiness,15,0.8171346653178216,
spectral,mnist,Laplacian Eigenmaps,reference,pca,ari,,0.2861339378858548,
spectral,swissroll,PCA,framework_linear,pca,procrustes,15,2.750542048529808e-13,
spectral,swissroll,PCA,framework_linear,pca,knn_overlap,15,1.0,
spectral,swissroll,PCA,framework_linear,pca,trustworthiness,15,0.9586606137244984,
spectral,swissroll,PCA,framework_linear,pca,rv_final,,0.8771898150444031,
spectral,swissroll,PCA,reference,pca,trustworthiness,15,0.9586606137244984,
spectral,swissroll,Kernel PCA (RBF),framework_linear,pca,procrustes,15,2.0287014563681276e-12,
spectral,swissroll,Kernel PCA (RBF),framework_linear,pca,knn_overlap,15,1.0,
spectral,swissroll,Kernel PCA (RBF),framework_linear,pca,trustworthiness,15,0.8734477659753836,
spectral,swissroll,Kernel PCA (RBF),framework_linear,pca,rv_final,,0.8264511823654175,
spectral,swissroll,Kernel PCA (RBF),reference,pca,trustworthiness,15,0.8734477659753836,
spectral,swissroll,Isomap,framework_linear,pca,procrustes,15,4.028759816769569e-05,
spectral,swissroll,Isomap,framework_linear,pca,knn_overlap,15,0.9717666666666668,
spectral,swissroll,Isomap,framework_linear,pca,trustworthiness,15,0.9998875569044006,
spectral,swissroll,Isomap,framework_linear,pca,rv_final,,0.9999805688858032,
spectral,swissroll,Isomap,reference,pca,trustworthiness,15,0.9998796324397234,
spectral,swissroll,LLE,framework_linear,pca,procrustes,15,0.4195707665064504,
spectral,swissroll,LLE,framework_linear,pca,knn_overlap,15,0.36780000000000007,
spectral,swissroll,LLE,framework_linear,pca,trustworthiness,15,0.9954130332153094,
spectral,swissroll,LLE,framework_linear,pca,rv_final,,0.9999960064888,
spectral,swissroll,LLE,reference,pca,trustworthiness,15,0.9966063227111785,
spectral,swissroll,Diffusion Maps,framework_linear,pca,procrustes,15,3.4241066635313966e-05,
spectral,swissroll,Diffusion Maps,framework_linear,pca,knn_overlap,15,0.9772000000000001,
spectral,swissroll,Diffusion Maps,framework_linear,pca,trustworthiness,15,0.8793856853818918,
spectral,swissroll,Diffusion Maps,framework_linear,pca,rv_final,,0.3104556202888489,
spectral,swissroll,Diffusion Maps,reference,pca,trustworthiness,15,0.8792363007924465,
spectral,swissroll,Laplacian Eigenmaps,framework_linear,pca,procrustes,15,0.10800041857083109,
spectral,swissroll,Laplacian Eigenmaps,framework_linear,pca,knn_overlap,15,0.40276666666666666,
spectral,swissroll,Laplacian Eigenmaps,framework_linear,pca,trustworthiness,15,0.8743329118192548,
spectral,swissroll,Laplacian Eigenmaps,framework_linear,pca,rv_final,,0.983852744102478,
spectral,swissroll,Laplacian Eigenmaps,reference,pca,trustworthiness,15,0.8761582363850953,
