section,dataset,method,variant,init,index_name,k,value,run_id
5.3.3,singlecell,globallocal_a0.0_nuinf,framework,pca,trustworthiness,15,0.8623272840782195,
5.3.3,singlecell,globallocal_a0.0_nuinf,framework,pca,rv_final,,0.4676714539527893,
5.3.3,singlecell,globallocal_a0.0_nuinf,framework,pca,ari,,0.3073771811983914,
5.3.3,singlecell,globallocal_a0.0_nu1.0,framework,pca,trustworthiness,15,0.8642701005213309,
5.3.3,singlecell,globallocal_a0.0_nu1.0,framework,pca,rv_final,,0.4460888206958771,
5.3.3,singlecell,globallocal_a0.0_nu1.0,framework,pca,ari,,0.3340851753826218,
5.3.3,singlecell,globallocal_a0.0_nu0.5,framework,pca,trustworthiness,15,0.862407467271254,
5.3.3,singlecell,globallocal_a0.0_nu0.5,framework,pca,rv_final,,0.43080848455429077,
5.3.3,singlecell,globallocal_a0.0_nu0.5,framework,pca,ari,,0.3531729317680816,
5.3.3,singlecell,globallocal_a0.25_nuinf,framework,pca,trustworthiness,15,0.880453034557439,
5.3.3,singlecell,globallocal_a0.25_nuinf,framework,pca,rv_final,,0.4257644712924957,
5.3.3,singlecell,globallocal_a0.25_nuinf,framework,pca,ari,,0.3190084942597279,
5.3.3,singlecell,globallocal_a0.25_nu1.0,framework,pca,trustworthiness,15,0.8742389675628688,
5.3.3,singlecell,globallocal_a0.25_nu1.0,framework,pca,rv_final,,0.49956539273262024,
5.3.3,singlecell,globallocal_a0.25_nu1.0,framework,pca,ari,,0.3362293909920355,
5.3.3,singlecell,globallocal_a0.25_nu0.5,framework,pca,trustworthiness,15,0.8749570502403707,
5.3.3,singlecell,globallocal_a0.25_nu0.5,framework,pca,rv_final,,0.5054401159286499,
5.3.3,singlecell,globallocal_a0.25_nu0.5,framework,pca,ari,,0.33133921545333517,
5.3.3,singlecell,globallocal_a0.5_nuinf,framework,pca,trustworthiness,15,0.8789159371465046,
5.3.3,singlecell,globallocal_a0.5_nuinf,framework,pca,rv_final,,0.6250277161598206,
5.3.3,singlecell,globallocal_a0.5_nuinf,framework,pca,ari,,0.2960441404426238,
5.3.3,singlecell,globallocal_a0.5_nu1.0,framework,pca,trustworthiness,15,0.8805262112644001,
5.3.3,singlecell,globallocal_a0.5_nu1.0,framework,pca,rv_final,,0.6399933099746704,
5.3.3,singlecell,globallocal_a0.5_nu1.0,framework,pca,ari,,0.31132029180532134,
5.3.3,singlecell,globallocal_a0.5_nu0.5,framework,pca,trustworthiness,15,0.8800650491831162,
5.3.3,singlecell,globallocal_a0.5_nu0.5,framework,pca,rv_final,,0.6432093381881714,
5.3.3,singlecell,globallocal_a0.5_nu0.5,framework,pca,ari,,0.320531613574958,
5.3.3,singlecell,globallocal_a0.75_nuinf,framework,pca,trustworthiness,15,0.8755269046649184,
5.3.3,singlecell,globallocal_a0.75_nuinf,framework,pca,rv_final,,0.7336172461509705,
5.3.3,singlecell,globallocal_a0.75_nuinf,framework,pca,ari,,0.3435899383485192,
5.3.3,singlecell,globallocal_a0.75_nu1.0,framework,pca,trustworthiness,15,0.8824683415550824,
5.3.3,singlecell,globallocal_a0.75_nu1.0,framework,pca,rv_final,,0.7640154957771301,
5.3.3,singlecell,globallocal_a0.75_nu1.0,framework,pca,ari,,0.298098427958997,
